timestamp,latitude,longitude
2024-08-16 20:28:47,31.4306,-145.3217
2024-08-16 20:28:57,31.8958,-144.7835
2024-08-16 20:29:08,32.3362,-144.2654
2024-08-16 20:29:18,32.7961,-143.7156
2024-08-16 20:29:28,33.2314,-143.1862
2024-08-16 20:29:38,33.6856,-142.6241
2024-08-16 20:29:49,34.1155,-142.0828
2024-08-16 20:29:59,34.5638,-141.5081
2024-08-16 20:30:09,35.0090,-140.9267
2024-08-16 20:30:20,35.4299,-140.3666
2024-08-16 20:30:30,35.8686,-139.7717
2024-08-16 20:30:40,36.2833,-139.1986
2024-08-16 20:30:51,36.7154,-138.5895
2024-08-16 20:31:01,37.1235,-138.0028
2024-08-16 20:31:11,37.5485,-137.3792
2024-08-16 20:31:21,37.9496,-136.7784
2024-08-16 20:31:32,38.3669,-136.1399
2024-08-16 20:31:42,38.7802,-135.4937
2024-08-16 20:31:52,39.1700,-134.8707
2024-08-16 20:32:03,39.5753,-134.2084
2024-08-16 20:32:13,39.9573,-133.5701
2024-08-16 20:32:23,40.3540,-132.8916
2024-08-16 20:32:34,40.7276,-132.2375
2024-08-16 20:32:44,41.1155,-131.5420
2024-08-16 20:32:54,41.4802,-130.8719
2024-08-16 20:33:04,41.8585,-130.1595
2024-08-16 20:33:15,42.2141,-129.4726
2024-08-16 20:33:25,42.5824,-128.7427
2024-08-16 20:33:35,42.9454,-128.0037
2024-08-16 20:33:46,43.2861,-127.2914
2024-08-16 20:33:56,43.6384,-126.5343
2024-08-16 20:34:06,43.9687,-125.8045
2024-08-16 20:34:16,44.3099,-125.0289
2024-08-16 20:34:27,44.6293,-124.2815
2024-08-16 20:34:37,44.9588,-123.4872
2024-08-16 20:34:47,45.2668,-122.7218
2024-08-16 20:34:58,45.5840,-121.9089
2024-08-16 20:35:08,45.8947,-121.0863
2024-08-16 20:35:18,46.1845,-120.2939
2024-08-16 20:35:28,46.4822,-119.4524
2024-08-16 20:35:39,46.7592,-118.6421
2024-08-16 20:35:49,47.0432,-117.7818
2024-08-16 20:35:59,47.3070,-116.9536
2024-08-16 20:36:10,47.5768,-116.0747
2024-08-16 20:36:20,47.8268,-115.2290
2024-08-16 20:36:30,48.0819,-114.3317
2024-08-16 20:36:41,48.3292,-113.4252
2024-08-16 20:36:51,48.5574,-112.5533
2024-08-16 20:37:01,48.7891,-111.6290
2024-08-16 20:37:11,49.0022,-110.7404
2024-08-16 20:37:22,49.2178,-109.7991
2024-08-16 20:37:32,49.4153,-108.8948
2024-08-16 20:37:42,49.6143,-107.9370
2024-08-16 20:37:53,49.8045,-106.9713
2024-08-16 20:38:03,49.9775,-106.0441
2024-08-16 20:38:13,50.1503,-105.0635
2024-08-16 20:38:24,50.3065,-104.1226
2024-08-16 20:38:34,50.4615,-103.1280
2024-08-16 20:38:44,50.6005,-102.1746
2024-08-16 20:38:55,50.7372,-101.1672
2024-08-16 20:39:05,50.8644,-100.1540
2024-08-16 20:39:15,50.9767,-99.1838
2024-08-16 20:39:25,51.0850,-98.1600
2024-08-16 20:39:36,51.1791,-97.1806
2024-08-16 20:39:46,51.2683,-96.1478
2024-08-16 20:39:57,51.3476,-95.1109
2024-08-16 20:40:07,51.4169,-94.0705
2024-08-16 20:40:18,51.4762,-93.0270
2024-08-16 20:40:28,51.5232,-92.0310
2024-08-16 20:40:38,51.5627,-90.9830
2024-08-16 20:40:48,51.5909,-89.9833
2024-08-16 20:40:59,51.6106,-88.9324
2024-08-16 20:41:09,51.6198,-87.9309
2024-08-16 20:41:19,51.6195,-86.8792
2024-08-16 20:41:30,51.6098,-85.8777
2024-08-16 20:41:40,51.5896,-84.8270
2024-08-16 20:41:50,51.5592,-83.7774
2024-08-16 20:42:01,51.5208,-82.7794
2024-08-16 20:42:11,51.4706,-81.7334
2024-08-16 20:42:21,51.4135,-80.7398
2024-08-16 20:42:31,51.3436,-79.6995
2024-08-16 20:42:42,51.2638,-78.6628
2024-08-16 20:42:52,51.1786,-77.6791
2024-08-16 20:43:02,51.0794,-76.6504
2024-08-16 20:43:13,50.9759,-75.6753
2024-08-16 20:43:23,50.8577,-74.6564
2024-08-16 20:43:33,50.7362,-73.6912
2024-08-16 20:43:44,50.5994,-72.6836
2024-08-16 20:43:54,50.4603,-71.7298
2024-08-16 20:44:04,50.3052,-70.7349
2024-08-16 20:44:14,50.1408,-69.7470
2024-08-16 20:44:25,49.9759,-68.8129
2024-08-16 20:44:35,49.7939,-67.8394
2024-08-16 20:44:45,49.6124,-66.9195
2024-08-16 20:44:56,49.4132,-65.9614
2024-08-16 20:45:06,49.2156,-65.0565
2024-08-16 20:45:16,48.9997,-64.1148
2024-08-16 20:45:27,48.7865,-63.2259
2024-08-16 20:45:37,48.5545,-62.3013
2024-08-16 20:45:47,48.3145,-61.3857
